time,na_entry,na_exit,qa_entry,qa_exit,gk_entry,gk_exit,c_entry,c_exit,s_entry,s_exit,o_entry,o_exit,sb_entry,sb_exit,ba_entry,ba_exit,g_entry,g_exit,b_entry,b_exit,a_entry,a_exit,m_entry,m_exit,t_entry,t_exit
4,17041,1,5719,4,2604,24,7986,261,382,132,247,322,1597,656,747,714,925,1014,23,0,68,0,29,0,1,0
5,107645,3415,41079,4724,17674,1950,46740,13614,3093,3595,3534,14066,19927,23694,11723,16619,19723,21022,3288,13742,11175,28638,13296,18817,44781,30971
6,160987,21719,72559,25013,31054,11609,50375,42022,6602,13476,10323,37766,43399,63780,30442,32501,45665,43325,9406,33736,25098,64924,32083,37974,105023,71374
7,175490,32953,71330,44674,28843,20870,47260,61739,11227,26868,15288,62195,58969,85837,44496,45649,63103,50006,12476,50215,31832,85713,43740,53540,153876,84435
8,176815,36778,62493,45635,27718,20138,56898,71331,10889,29799,13892,84330,53408,104371,41454,49612,62560,51217,11026,53088,27356,92001,42810,55674,149407,84606
9,151056,42363,58897,36267,28196,17242,62821,71884,10113,30520,13055,74223,49779,101993,33758,43568,58407,45898,10328,35779,25593,94953,36497,41289,134199,79027
10,117952,43302,50723,31226,26456,15862,60870,68739,9816,24909,13279,55381,45910,83719,28112,36037,50788,42586,11708,24921,25565,77278,31499,30188,108543,81357
11,114740,47622,50420,28441,26419,13295,69157,72050,10037,17543,15512,50578,46080,78119,26951,31641,47287,42474,12723,21626,28843,78656,30603,24804,105245,84689
12,117451,50953,50248,29954,26997,13067,71107,78592,10337,14391,17939,50661,50239,77250,28655,33466,49664,43638,14425,20463,33950,68268,34782,23714,105137,90302
13,98826,52458,44100,31669,23304,14585,69247,77141,10232,13653,17891,47772,48952,71845,28605,33998,46613,44192,14042,21541,36008,62104,33269,25977,102272,88582
14,82336,54405,39650,32788,23268,14531,67892,83093,11530,12394,21792,38456,50701,63892,30273,33734,44176,46115,19307,19240,43676,52366,39303,21800,102727,92576
15,72620,67497,38553,39314,22121,15677,67678,96638,12949,11068,28069,33197,58402,60519,32933,32536,45166,48309,23665,14123,60174,45163,47674,18605,109785,97724
16,77167,85776,47328,49544,28478,18052,71518,113880,17034,10093,36774,33169,68559,66526,36646,36185,53227,57261,31004,12273,79964,44897,62723,19206,130933,114408
17,84030,108866,57903,65816,33884,22131,76208,130881,23460,9707,48859,35218,75711,71590,41788,42350,53428,66178,34718,13711,85415,48339,83766,22354,144800,133485
18,89670,125515,57379,75050,29757,23675,79920,146667,21301,9667,53412,35032,78936,74445,42689,49956,53537,71784,32954,15847,88754,50583,81106,24942,140662,146082
19,91676,117328,43753,70730,21468,21615,70863,135501,15848,10069,42307,31942,69450,73866,38500,54896,48232,68906,29438,15962,95505,52440,71622,26172,133539,150299
20,81625,97479,32179,64323,15763,19743,55406,114178,10965,7578,27088,27643,56852,68927,29874,52389,39482,56052,22149,16567,87391,44268,53110,22402,101016,117811
21,61522,69474,21793,48784,9954,15816,42160,92780,6076,5280,19809,20924,45646,55736,22731,40010,28889,42698,16862,13748,85567,31542,33727,20233,67440,91708
22,1293,49674,1560,33986,1110,10731,5273,58810,1345,3009,7391,6730,16635,23776,11440,15874,14330,18484,10377,4696,39299,11484,14848,7746,25694,39082
23,1,14375,19,7430,2,1870,46,7169,69,241,13,210,31,456,252,516,603,1008,395,174,11,3,16,6,11,322
